ID	Stromal_score	Immune_score	ESTIMATE_score
TCGA-DD-AACL-01	-663.99	1275.36	611.38
TCGA-DD-AACN-01	-371.88	-161.34	-533.22
TCGA-DD-AACO-01	-658.74	333.95	-324.79
TCGA-DD-AACP-01	-1741.56	-787.77	-2529.32
TCGA-DD-AACQ-01	-1567.28	-885.28	-2452.56
TCGA-DD-AACS-01	-1292.3	-731.2	-2023.49
TCGA-DD-AACT-01	-457.36	365.62	-91.74
TCGA-DD-AACU-01	-821.14	-105.23	-926.37
TCGA-DD-AACV-01	-1459.36	-1058.32	-2517.67
TCGA-DD-AACW-01	-1253.49	-341.6	-1595.09
TCGA-DD-AACX-01	-1466.82	-205.52	-1672.33
TCGA-DD-AACY-01	-871.62	-147.83	-1019.45
TCGA-DD-AACZ-01	-573.09	1560.76	987.67
TCGA-DD-AAD0-01	-1536.13	-605.64	-2141.76
TCGA-DD-AAD1-01	149.64	736.91	886.55
TCGA-DD-AAD2-01	168.61	426.55	595.16
TCGA-DD-AAD3-01	-40.1	165.93	125.82
TCGA-DD-AAD5-01	-1154.27	434.45	-719.82
TCGA-DD-AAD6-01	-1572.96	-412.1	-1985.06
TCGA-DD-AAD8-01	-1083.41	-380.9	-1464.31
TCGA-DD-AADA-01	-354.68	446.4	91.72
TCGA-DD-AADB-01	-992.74	636.03	-356.72
TCGA-DD-AADC-01	-1234.08	-607.18	-1841.26
TCGA-DD-AADD-01	-1631.89	-495.5	-2127.39
TCGA-DD-AADF-01	-1267.53	-166.16	-1433.69
TCGA-DD-AADG-01	-1145.19	-825.86	-1971.05
TCGA-DD-AADI-01	-334.08	1002.06	667.98
TCGA-DD-AADJ-01	-1158.53	-120.71	-1279.24
TCGA-DD-AADK-01	-336.33	198.18	-138.15
TCGA-DD-AADL-01	-1301.91	-803.48	-2105.39
TCGA-DD-AADM-01	-742.82	-38.41	-781.23
TCGA-DD-AADN-01	-1354.1	1655.29	301.18
TCGA-DD-AADO-01	-984.48	934.89	-49.59
TCGA-DD-AADP-01	-638.25	-208.15	-846.41
TCGA-DD-AADQ-01	-1316.3	19.33	-1296.97
TCGA-DD-AADR-01	-972.6	-10.3	-982.9
TCGA-DD-AADS-01	-892.74	901.7	8.96
TCGA-DD-AADU-01	-1441.82	-448.39	-1890.21
TCGA-DD-AADV-01	-495.15	-332.76	-827.91
TCGA-DD-AADW-01	-573.76	-797.57	-1371.34
TCGA-DD-AADY-01	-746.95	-797.31	-1544.26
TCGA-DD-AAE0-01	-808.81	-478.88	-1287.7
TCGA-DD-AAE1-01	-1229.05	-143.96	-1373.01
TCGA-DD-AAE2-01	-261.06	389.59	128.54
TCGA-DD-AAE3-01	-283.52	-129.5	-413.02
TCGA-DD-AAE4-01	-78.9	1307.28	1228.38
TCGA-DD-AAE6-01	-1727.94	-1141.2	-2869.14
TCGA-DD-AAE7-01	-323.11	239.78	-83.33
TCGA-DD-AAE9-01	-1551.74	-375.93	-1927.66
TCGA-DD-AAEA-01	-1154.93	151.51	-1003.42
TCGA-DD-AAEB-01	-869.87	-235.29	-1105.16
TCGA-DD-AAED-01	-1662.15	-321.32	-1983.47
TCGA-DD-AAEE-01	-1086.86	-659.39	-1746.25
TCGA-DD-AAEG-01	-1097.01	-640.35	-1737.36
TCGA-DD-AAEH-01	-292	962.91	670.9
TCGA-DD-AAEI-01	-784.36	272.02	-512.34
TCGA-DD-AAEK-01	-258.19	962.71	704.52
TCGA-DD-AAVP-01	-752.95	-384.25	-1137.2
TCGA-DD-AAVQ-01	-446.26	1537.9	1091.64
TCGA-DD-AAVR-01	261.96	1148.07	1410.03
TCGA-DD-AAVS-01	-813.47	-334.55	-1148.01
TCGA-DD-AAVU-01	-1359.71	-410.19	-1769.9
TCGA-DD-AAVV-01	-46.06	886.87	840.82
TCGA-DD-AAVW-01	169.26	280.81	450.08
TCGA-DD-AAVX-01	-604.89	419.12	-185.77
TCGA-DD-AAVY-01	-1313.86	-699.67	-2013.53
TCGA-DD-AAVZ-01	-848.26	-389.88	-1238.14
TCGA-DD-AAW0-01	-118.51	526.45	407.94
TCGA-DD-AAW1-01	-1046.24	-530.14	-1576.38
TCGA-DD-AAW2-01	-903.62	-670.36	-1573.98
TCGA-DD-AAW3-01	-978.01	-726.86	-1704.87
TCGA-ED-A459-01	-942.5	85.69	-856.81
TCGA-ED-A4XI-01	92.1	523.63	615.73
TCGA-ED-A5KG-01	485.1	2934.36	3419.47
TCGA-ED-A627-01	628.18	1307.98	1936.16
TCGA-ED-A66X-01	250.03	393.97	644
TCGA-ED-A66Y-01	-1256.72	-1209.16	-2465.88
TCGA-ED-A7PX-01	-99.92	-155.43	-255.35
TCGA-ED-A7PY-01	-1440.39	-712.49	-2152.88
TCGA-ED-A7PZ-01	-1637.75	-969.5	-2607.25
TCGA-ED-A7XO-01	-280.71	158.48	-122.24
TCGA-ED-A7XP-01	-447.42	-56.46	-503.88
TCGA-ED-A82E-01	-499.13	-173.15	-672.28
TCGA-ED-A8O5-01	-839.3	-672.53	-1511.84
TCGA-ED-A8O6-01	-1062.5	-522.85	-1585.36
TCGA-ED-A97K-01	-435.17	-12.54	-447.7
TCGA-EP-A12J-01	-970.79	-397.63	-1368.42
TCGA-EP-A26S-01	-975.46	-768.95	-1744.42
TCGA-EP-A2KA-01	-939.88	883.29	-56.59
TCGA-EP-A2KB-01	-1259.73	-479.63	-1739.36
TCGA-EP-A2KC-01	-898.55	-355.14	-1253.69
TCGA-EP-A3JL-01	-151.95	750.73	598.77
TCGA-EP-A3RK-01	-230.87	1304.49	1073.63
TCGA-ES-A2HS-01	-630.74	-502.18	-1132.92
TCGA-ES-A2HT-01	-327.93	203.46	-124.47
TCGA-FV-A23B-01	-741.61	-7.9	-749.5
TCGA-FV-A2QQ-01	-597.04	285.32	-311.73
TCGA-FV-A2QR-01	-293.02	-286.31	-579.33
TCGA-FV-A3I0-01	-546.25	-158.91	-705.16
TCGA-FV-A3I1-01	-451.83	394.06	-57.78
TCGA-FV-A3R2-01	-1175.9	-300.93	-1476.82
TCGA-FV-A3R3-01	394.91	310.13	705.04
TCGA-FV-A495-01	-30.02	740.54	710.51
TCGA-FV-A496-01	-1416.38	-911.66	-2328.04
TCGA-FV-A4ZP-01	-903.8	770.4	-133.4
TCGA-FV-A4ZQ-01	-1134.66	1301.66	167
TCGA-G3-A25S-01	-1200.57	173.62	-1026.95
TCGA-G3-A25T-01	-594.36	-230.65	-825.01
TCGA-G3-A25U-01	-1184.37	-626.03	-1810.4
TCGA-G3-A25V-01	-50.74	537.96	487.22
TCGA-G3-A25X-01	-278.68	928.85	650.16
TCGA-G3-A25Y-01	-248.12	18.33	-229.79
TCGA-G3-A25Z-01	-589.66	-33	-622.66
TCGA-G3-A3CG-01	-509.43	-86.64	-596.08
TCGA-G3-A3CH-01	-481.29	61.59	-419.7
TCGA-G3-A3CI-01	-446.57	354.81	-91.76
TCGA-G3-A3CJ-01	-964.47	-255.93	-1220.4
TCGA-G3-A3CK-01	-824.22	180.4	-643.82
TCGA-G3-A5SI-01	-1185.43	-841.26	-2026.69
TCGA-G3-A5SJ-01	-748.97	571.3	-177.66
TCGA-G3-A5SK-01	-443.7	420.83	-22.87
TCGA-G3-A5SL-01	-785.64	-453.14	-1238.78
TCGA-G3-A5SM-01	-18.46	435.41	416.95
TCGA-G3-A6UC-01	-1266.66	-642.97	-1909.64
TCGA-G3-A7M5-01	-1093.99	-174.7	-1268.69
TCGA-G3-A7M6-01	-743.79	-348.05	-1091.84
TCGA-G3-A7M7-01	-917.21	-555.2	-1472.42
TCGA-G3-A7M8-01	-399.82	-204.42	-604.25
TCGA-G3-A7M9-01	-1485.76	-971.63	-2457.39
TCGA-G3-AAUZ-01	-521.27	461.39	-59.88
TCGA-G3-AAV0-01	-894.24	-256.41	-1150.65
TCGA-G3-AAV1-01	-842.63	-469.17	-1311.8
TCGA-G3-AAV2-01	-909.37	-385.79	-1295.17
TCGA-G3-AAV3-01	-460.42	802.6	342.18
TCGA-G3-AAV4-01	-1041.68	-453.81	-1495.49
TCGA-G3-AAV5-01	-1260.73	-402.93	-1663.67
TCGA-G3-AAV6-01	-1253.04	-888.52	-2141.56
TCGA-G3-AAV7-01	-792.76	319.1	-473.66
TCGA-GJ-A3OU-01	889.34	2261.38	3150.71
TCGA-GJ-A6C0-01	-621.44	566.85	-54.58
TCGA-GJ-A9DB-01	-312.1	-139.72	-451.81
TCGA-HP-A5MZ-01	532.13	951.91	1484.04
TCGA-HP-A5N0-01	110.25	3.72	113.97
TCGA-K7-A5RF-01	206.11	764.23	970.34
TCGA-K7-A5RG-01	-269.4	2103.94	1834.54
TCGA-K7-A6G5-01	-481.76	277.58	-204.18
TCGA-K7-AAU7-01	-393.5	19.43	-374.08
TCGA-KR-A7K0-01	-640.75	-158.75	-799.51
TCGA-KR-A7K2-01	-488.48	18.94	-469.54
TCGA-KR-A7K7-01	-1300.52	665.27	-635.25
TCGA-KR-A7K8-01	-305.46	1093.78	788.32
TCGA-LG-A6GG-01	-1186.69	-486.98	-1673.67
TCGA-LG-A9QC-01	-1042.62	-777.93	-1820.55
TCGA-LG-A9QD-01	-910.86	12.64	-898.22
TCGA-MI-A75C-01	-1618.37	85.29	-1533.08
TCGA-MI-A75E-01	-265.26	298.94	33.68
TCGA-MI-A75G-01	-1203.26	-730.23	-1933.49
TCGA-MI-A75H-01	-639.97	500.43	-139.54
TCGA-MI-A75I-01	-1274.02	-362.74	-1636.76
TCGA-MR-A520-01	-830.88	-335	-1165.88
TCGA-MR-A8JO-01	755.28	814.67	1569.95
TCGA-NI-A4U2-01	-583.93	-298.35	-882.28
TCGA-NI-A8LF-01	-499.92	-392.9	-892.82
TCGA-O8-A75V-01	-343.68	598.05	254.37
TCGA-PD-A5DF-01	65.08	359.93	425.01
TCGA-QA-A7B7-01	-1366.17	-490.89	-1857.06
TCGA-RC-A6M3-01	-1497.85	-287.06	-1784.9
TCGA-RC-A6M4-01	-1399.47	-937.54	-2337.01
TCGA-RC-A6M5-01	309.06	-283.5	25.57
TCGA-RC-A6M6-01	-1506.9	-510.49	-2017.38
TCGA-RC-A7S9-01	-1313.39	20.3	-1293.09
TCGA-RC-A7SB-01	-1133.64	-457.26	-1590.9
TCGA-RC-A7SF-01	-1040.45	-226.1	-1266.55
TCGA-RC-A7SH-01	-1322.82	-755.94	-2078.76
TCGA-RC-A7SK-01	-1258.97	-774.1	-2033.07
TCGA-RG-A7D4-01	-1265.35	1001	-264.35
TCGA-T1-A6J8-01	-629.08	-285.26	-914.35
TCGA-UB-A7MA-01	-926.15	-476.52	-1402.66
TCGA-UB-A7MB-01	-1308.79	-833.18	-2141.97
TCGA-UB-A7MC-01	-1408.87	-854.99	-2263.85
TCGA-UB-A7MD-01	-392.02	404.8	12.77
TCGA-UB-A7ME-01	-560.72	594.99	34.27
TCGA-UB-A7MF-01	-757.66	1332.84	575.18
TCGA-UB-AA0U-01	-15.14	211.94	196.79
TCGA-UB-AA0V-01	67.63	56.55	124.18
TCGA-WJ-A86L-01	-1387.68	-623.74	-2011.42
TCGA-WQ-A9G7-01	-1330.54	-730.63	-2061.17
TCGA-WQ-AB4B-01	-399.9	53.23	-346.67
TCGA-WX-AA44-01	-1034.7	-123.37	-1158.08
TCGA-WX-AA46-01	-388.66	-103.3	-491.96
TCGA-WX-AA47-01	-1490.59	-786.76	-2277.35
TCGA-XR-A8TC-01	-872.06	-583.56	-1455.62
TCGA-XR-A8TD-01	313.92	1395.47	1709.4
TCGA-XR-A8TE-01	-638.55	-418.84	-1057.39
TCGA-XR-A8TF-01	-1214.05	-538.93	-1752.99
TCGA-XR-A8TG-01	-552.52	-216.26	-768.78
TCGA-YA-A8S7-01	64.35	1470.2	1534.55
TCGA-ZP-A9CV-01	-236.28	391.76	155.48
TCGA-ZP-A9CY-01	-158.44	78.14	-80.31
TCGA-ZP-A9CZ-01	-363.69	537.38	173.69
TCGA-ZP-A9D0-01	-812.15	-625.41	-1437.56
TCGA-ZP-A9D1-01	-262.16	69.32	-192.84
TCGA-ZP-A9D2-01	-611.17	-276.75	-887.92
TCGA-ZP-A9D4-01	-1093.89	-645.08	-1738.97
TCGA-ZS-A9CD-01	-389.34	108.07	-281.27
TCGA-ZS-A9CE-01	-1257.91	-858.09	-2116
TCGA-ZS-A9CF-01	-942.97	-92.47	-1035.44
TCGA-ZS-A9CF-02	-922.12	-355.31	-1277.43
TCGA-ZS-A9CG-01	-816.48	-384.57	-1201.06
